,Date,BranchLocation,C&FAgent,ProductCategory,ProductCode,Sales,InitialInventory,UnitsOrdered,DemandForecast,SellingPrice,Month_Year,Sales_lag,InitialInventory_lag,UnitsOrdered_lag
25,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,56,40,16,10,951.42,February 2006,2.0,42.0,0.0
26,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,5,0,100,91,951.23,March 2006,56.0,40.0,16.0
27,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,22,95,0,31,951.9,April 2006,5.0,0.0,100.0
28,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,32,38,100,30,951.35,May 2006,22.0,95.0,0.0
29,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,87,106,49,43,955.42,June 2006,32.0,38.0,100.0
30,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,16,43,23,24,955.61,July 2006,87.0,106.0,49.0
31,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,57,50,176,367,954.74,August 2006,16.0,43.0,23.0
32,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,66,169,0,60,955.68,September 2006,57.0,50.0,176.0
33,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,49,103,137,414,955.17,October 2006,66.0,169.0,0.0
34,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,55,191,0,60,955.54,November 2006,49.0,103.0,137.0
35,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,28,111,0,37,955.31,December 2006,55.0,191.0,0.0
36,2004-01-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,January 2004,,,
37,2004-02-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,February 2004,0.0,0.0,0.0
38,2004-03-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,March 2004,0.0,0.0,0.0
39,2004-04-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,April 2004,0.0,0.0,0.0
40,2004-05-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,May 2004,0.0,0.0,0.0
41,2004-06-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,June 2004,0.0,0.0,0.0
42,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,July 2004,0.0,0.0,0.0
43,2004-08-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,August 2004,0.0,0.0,0.0
44,2004-09-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,0,0,272.3556428571429,September 2004,0.0,0.0,0.0
45,2004-10-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,0,4,0,272.3556428571429,October 2004,0.0,0.0,0.0
46,2004-11-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,4,0,0,272.3556428571429,November 2004,0.0,0.0,4.0
47,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,4,0,0,272.3556428571429,December 2004,0.0,4.0,0.0
48,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,4,4,0,0,273.42,January 2005,0.0,4.0,0.0
49,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,28,0,135,0,273.28,February 2005,4.0,4.0,0.0
50,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,154,107,150,0,273.07,March 2005,28.0,0.0,135.0
51,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,263,103,412,500,272.83,April 2005,154.0,107.0,150.0
52,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,121,252,0,0,272.98,May 2005,263.0,103.0,412.0
53,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,6,131,0,0,273.29,June 2005,121.0,252.0,0.0
54,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,125,0,0,272.3556428571429,July 2005,6.0,131.0,0.0
55,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,125,0,0,272.3556428571429,August 2005,0.0,125.0,0.0
56,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,220,250,0,0,272.69,September 2005,0.0,125.0,0.0
57,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,30,15,320,0,273.19,October 2005,220.0,250.0,0.0
58,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,598,610,0,84,276.94,November 2005,30.0,15.0,320.0
59,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,6,0,0,272.3556428571429,December 2005,598.0,610.0,0.0
60,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,104,6,144,0,276.98,January 2006,0.0,6.0,0.0
61,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,24,46,116,20,276.61,February 2006,104.0,6.0,144.0
62,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,453,138,675,160,276.71,March 2006,24.0,46.0,116.0
63,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,80,360,0,190,276.7,April 2006,453.0,138.0,675.0
64,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,120,280,40,242,276.74,May 2006,80.0,360.0,0.0
65,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,160,200,0,100,282.9,June 2006,120.0,280.0,40.0
66,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,16,40,90,0,276.77,July 2006,160.0,200.0,0.0
67,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,0,114,0,0,272.3556428571429,August 2006,16.0,40.0,90.0
68,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,24,64,0,60,283.05,September 2006,0.0,114.0,0.0
69,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,309,0,543,0,283.16,October 2006,24.0,64.0,0.0
70,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,501,234,421,529,283.02,November 2006,309.0,0.0,543.0
71,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,79565,60,104,210,370,282.77,December 2006,501.0,234.0,421.0
72,2004-01-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,21,0,45,0,537.9826050420168,January 2004,,,
73,2004-02-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,7,24,5,0,537.9826050420168,February 2004,21.0,0.0,45.0
74,2004-03-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,22,0,0,537.9826050420168,March 2004,7.0,24.0,5.0
75,2004-04-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,15,22,7,0,540.88,April 2004,0.0,22.0,0.0
76,2004-05-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,13,14,20,0,541.31,May 2004,15.0,22.0,7.0
77,2004-06-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,37,21,50,0,540.66,June 2004,13.0,14.0,20.0
78,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,14,34,2,0,541.22,July 2004,37.0,21.0,50.0
79,2004-08-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,22,22,0,0,542.25,August 2004,14.0,34.0,2.0
80,2004-09-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,36,0,60,0,542.61,September 2004,22.0,22.0,0.0
81,2004-10-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,14,24,0,0,542.25,October 2004,36.0,0.0,60.0
82,2004-11-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,10,0,0,537.9826050420168,November 2004,14.0,24.0,0.0
83,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,10,10,0,0,542.51,December 2004,0.0,10.0,0.0
84,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,0,0,0,537.9826050420168,January 2005,10.0,10.0,0.0
85,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,12,0,25,8,542.52,February 2005,0.0,0.0,0.0
86,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,7,13,0,0,542.68,March 2005,12.0,0.0,25.0
87,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,25,6,50,130,542.49,April 2005,7.0,13.0,0.0
88,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,2,31,0,0,542.82,May 2005,25.0,6.0,50.0
89,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,34,58,0,0,542.75,June 2005,2.0,31.0,0.0
90,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,12,12,0,0,542.44,July 2005,34.0,58.0,0.0
91,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,0,0,0,537.9826050420168,August 2005,12.0,12.0,0.0
92,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,0,0,0,537.9826050420168,September 2005,0.0,0.0,0.0
93,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,0,0,7,537.9826050420168,October 2005,0.0,0.0,0.0
94,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,0,0,0,0,537.9826050420168,November 2005,0.0,0.0,0.0
95,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,25,0,25,10,549.88,December 2005,0.0,0.0,0.0
96,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,69,0,107,6,550.23,January 2006,25.0,0.0,25.0
97,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,14,38,0,6,549.99,February 2006,69.0,0.0,107.0
98,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,4,24,0,23,549.6,March 2006,14.0,38.0,0.0
99,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,50,0,76,39,549.86,April 2006,4.0,24.0,0.0
100,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,102,26,100,76,550.09,May 2006,50.0,0.0,76.0
101,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,2,24,6,82,549.69,June 2006,102.0,26.0,100.0
102,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,20,28,36,0,562.48,July 2006,2.0,24.0,6.0
103,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,25,44,0,0,562.6,August 2006,20.0,28.0,36.0
104,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,6,19,49,44,562.37,September 2006,25.0,44.0,0.0
105,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,28,62,0,0,562.54,October 2006,6.0,19.0,49.0
106,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,5,34,41,73,562.81,November 2006,28.0,62.0,0.0
107,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,85883,6,45,91,80,562.38,December 2006,5.0,34.0,41.0
108,2004-01-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,730,230,680,100,14.73970245795602,January 2004,,,
109,2004-02-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,6800,180,10050,7000,14.73970245795602,February 2004,730.0,230.0,680.0
110,2004-03-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2040,3430,2230,0,14.73970245795602,March 2004,6800.0,180.0,10050.0
111,2004-04-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2190,3620,720,750,15.83,April 2004,2040.0,3430.0,2230.0
112,2004-05-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2520,1550,980,1800,15.89,May 2004,2190.0,3620.0,720.0
113,2004-06-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,3350,10,4520,0,14.54,June 2004,2520.0,1550.0,980.0
114,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1960,1180,4030,2000,15.64,July 2004,3350.0,10.0,4520.0
115,2004-08-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1940,3250,300,1500,16.02,August 2004,1960.0,1180.0,4030.0
116,2004-09-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1780,1610,209,2000,14.75,September 2004,1940.0,3250.0,300.0
117,2004-10-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,740,39,3020,3000,14.94,October 2004,1780.0,1610.0,209.0
118,2004-11-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,60,2310,0,2000,14.49,November 2004,740.0,39.0,3020.0
119,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2440,2250,200,2000,14.8,December 2004,60.0,2310.0,0.0
120,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2460,10,4100,2000,14.49,January 2005,2440.0,2250.0,200.0
121,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1060,1650,240,4891,14.47,February 2005,2460.0,10.0,4100.0
122,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,500,830,1120,2000,14.77,March 2005,1060.0,1650.0,240.0
123,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2240,2900,2720,2000,15.14,April 2005,500.0,830.0,1120.0
124,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,5800,3380,2640,0,14.38,May 2005,2240.0,2900.0,2720.0
125,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,6070,110,6060,0,14.38,June 2005,5800.0,3380.0,2640.0
126,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,10640,0,10640,0,14.4,July 2005,6070.0,110.0,6060.0
127,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,0,0,0,0,14.73970245795602,August 2005,10640.0,0.0,10640.0
128,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1560,0,1560,0,14.92,September 2005,0.0,0.0,0.0
129,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2240,0,5520,8164,14.53,October 2005,1560.0,0.0,1560.0
130,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2140,3280,9000,5000,14.86,November 2005,2240.0,0.0,5520.0
131,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2560,2570,0,720,14.83,December 2005,2140.0,3280.0,9000.0
132,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1860,10,2540,890,14.69,January 2006,2560.0,2570.0,0.0
133,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1220,690,1040,1000,14.55,February 2006,1860.0,10.0,2540.0
134,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1600,510,2800,1862,14.82,March 2006,1220.0,690.0,1040.0
135,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2660,1710,2480,2070,14.71,April 2006,1600.0,510.0,2800.0
136,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,8120,1530,11280,3365,14.43,May 2006,2660.0,1710.0,2480.0
137,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,16550,4690,16540,4478,14.8,June 2006,8120.0,1530.0,11280.0
138,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,5460,4680,3360,2259,15.06,July 2006,16550.0,4690.0,16540.0
139,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,600,2580,720,5022,14.68,August 2006,5460.0,4680.0,3360.0
140,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2620,2680,2780,2000,14.77,September 2006,600.0,2580.0,720.0
141,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1460,2840,1860,1844,14.68,October 2006,2620.0,2680.0,2780.0
142,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,1280,3240,0,2000,14.38,November 2006,1460.0,2840.0,1860.0
143,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,87890,2300,1960,2040,2044,14.94,December 2006,1280.0,3240.0,0.0
144,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,80,0,1250.87396039604,December 2004,,,
145,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,400,80,451,0,1250.57,January 2005,0.0,0.0,80.0
146,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,41,131,0,0,1250.42,February 2005,400.0,80.0,451.0
147,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,130,90,250,0,1250.46,March 2005,41.0,131.0,0.0
148,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,122,210,0,0,1250.42,April 2005,130.0,90.0,250.0
149,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,7,88,0,0,1249.83,May 2005,122.0,210.0,0.0
150,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,152,162,100,0,1250.23,June 2005,7.0,88.0,0.0
151,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,1,55,0,0,1250.55,July 2005,152.0,162.0,100.0
152,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,106,108,0,0,1250.57,August 2005,1.0,55.0,0.0
153,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,54,0,90,0,1250.78,September 2005,106.0,108.0,0.0
154,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,18,0,17,1250.87396039604,October 2005,54.0,0.0,90.0
155,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,18,0,0,1250.87396039604,November 2005,0.0,18.0,0.0
156,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,18,100,18,1250.87396039604,December 2005,0.0,18.0,0.0
157,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,80,118,0,46,1251.59,January 2006,0.0,18.0,100.0
158,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,38,0,10,1250.87396039604,February 2006,80.0,118.0,0.0
159,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,38,38,0,0,1251.46,March 2006,0.0,38.0,0.0
160,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,April 2006,38.0,38.0,0.0
161,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,27,1250.87396039604,May 2006,0.0,0.0,0.0
162,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,June 2006,0.0,0.0,0.0
163,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,July 2006,0.0,0.0,0.0
164,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,August 2006,0.0,0.0,0.0
165,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,September 2006,0.0,0.0,0.0
166,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,0,0,1250.87396039604,October 2006,0.0,0.0,0.0
167,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,0,4,8,1250.87396039604,November 2006,0.0,0.0,0.0
168,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,89654,0,4,41,34,1250.87396039604,December 2006,0.0,0.0,4.0
169,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,0,2,0,1614.417108433735,July 2004,,,
170,2004-08-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,2,2,0,0,1608.83,August 2004,0.0,0.0,2.0
171,2004-09-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,38,0,50,0,1608.61,September 2004,2.0,2.0,0.0
172,2004-10-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,12,0,0,1614.417108433735,October 2004,38.0,0.0,50.0
173,2004-11-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,385,12,385,0,1608.32,November 2004,0.0,12.0,0.0
174,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,401,12,398,0,1608.55,December 2004,385.0,12.0,385.0
175,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,309,9,319,0,1608.33,January 2005,401.0,12.0,398.0
176,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,19,19,200,0,1608.59,February 2005,309.0,9.0,319.0
177,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,200,55,0,1614.417108433735,March 2005,19.0,19.0,200.0
178,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,255,50,0,1614.417108433735,April 2005,0.0,200.0,55.0
179,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,145,145,0,0,1608.26,May 2005,0.0,255.0,50.0
180,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,465,0,465,0,1608.63,June 2005,145.0,145.0,0.0
181,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,292,0,802,0,1608.01,July 2005,465.0,0.0,465.0
182,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,92,510,244,0,1608.31,August 2005,292.0,0.0,802.0
183,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,248,462,400,0,1608.44,September 2005,92.0,510.0,244.0
184,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,454,596,92,46,1608.52,October 2005,248.0,462.0,400.0
185,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,618,234,384,0,1614.87,November 2005,454.0,596.0,92.0
186,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,95,0,184,45,1614.62,December 2005,618.0,234.0,384.0
187,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,89,89,0,100,1614.56,January 2006,95.0,0.0,184.0
188,2006-02-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,8,0,392,59,1614.57,February 2006,89.0,89.0,0.0
189,2006-03-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,0,0,376,1614.417108433735,March 2006,8.0,0.0,392.0
190,2006-04-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,0,0,526,1614.417108433735,April 2006,0.0,0.0,0.0
191,2006-05-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,91,0,92,227,1614.77,May 2006,0.0,0.0,0.0
192,2006-06-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,309,0,1058,149,1624.81,June 2006,91.0,0.0,92.0
193,2006-07-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,5,749,0,0,1614.55,July 2006,309.0,0.0,1058.0
194,2006-08-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,744,0,26,1614.417108433735,August 2006,5.0,749.0,0.0
195,2006-09-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,10,744,0,0,1614.76,September 2006,0.0,744.0,0.0
196,2006-10-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,0,734,0,0,1614.417108433735,October 2006,10.0,744.0,0.0
197,2006-11-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,200,534,0,0,1625.08,November 2006,0.0,734.0,0.0
198,2006-12-01,Alabama BRANCH,Alabama Agent1,Appliances,92930,65,84,230,80,1625.04,December 2006,200.0,534.0,0.0
199,2004-01-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,5,5,0,22,3052.898333333333,January 2004,,,
200,2004-02-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,2,0,20,2,3052.898333333333,February 2004,5.0,5.0,0.0
201,2004-03-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,3,18,0,2,3052.898333333333,March 2004,2.0,0.0,20.0
202,2004-04-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,7,15,0,2,3003.9,April 2004,3.0,18.0,0.0
203,2004-05-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,18,8,10,16,3003.69,May 2004,7.0,15.0,0.0
204,2004-06-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,13,0,30,16,3003.97,June 2004,18.0,8.0,10.0
205,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,95945,1,17,0,5,3004.09,July 2004,13.0,0.0,30.0
